PC,3370
PlayStation 2,1686
Xbox 360,1631
Wii,1366
PlayStation 3,1356
Nintendo DS,1045
PlayStation,952
Wireless,910
iPhone,842
Xbox,821
PlayStation Portable,633
Game Boy Advance,623
GameCube,509
Game Boy Color,356
Nintendo 64,302
Dreamcast,286
PlayStation 4,277
Nintendo DSi,254
Nintendo 3DS,225
Xbox One,208
PlayStation Vita,155
Wii U,114
iPad,99
Lynx,82
Macintosh,81
Genesis,58
NES,49
TurboGrafx-16,40
Android,39
Super NES,33
NeoGeo Pocket Color,31
N-Gage,30
Game Boy,22
iPod,17
Sega 32X,16
Windows Phone,14
Master System,13
Arcade,11
Linux,10
NeoGeo,10
Nintendo 64DD,7
Commodore 64/128,6
Saturn,6
Atari 2600,5
WonderSwan,4
TurboGrafx-CD,3
Game.Com,3
Vectrex,2
Atari 5200,2
New Nintendo 3DS,2
Sega CD,1
Pocket PC,1
Ouya,1
Windows Surface,1
WonderSwan Color,1
Dreamcast VMU,1
SteamOS,1
Web Games,1
DVD / HD Video Game,1
